"Farm supply and disposition of grains (x 1,000) 1 2",,,,,,,
Frequency: Occasional Monthly,,,,,,,
Table: 32-10-0015-01 (formerly CANSIM 001-0043),,,,,,,
Release date: 2026-05-06,,,,,,,
"Geography: Canada, Geographical region of Canada, Province or territory",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Geography,Alberta,,,,,
Type of crop,Farm supply and disposition of grains,Mar-23,Jul-23,Dec-23,Mar-24,Jul-24,Dec-24
Canola 3 4 5,,Metric tonnes,,,,,
,Total supplies,"5,739.70","5,739.70","5,921.10","5,921.10","5,921.10","6,016.90"
,Beginning stocks,148,148,208,208,208,418
,Production,"5,591.70","5,591.70","5,713.10","5,713.10","5,713.10","5,598.90"
,Total disposition,"5,739.70","5,739.70","5,921.10","5,921.10","5,921.10","6,016.90"
,Deliveries 3 6 7,"3,973.40","5,400.10","2,054.70","3,462.20","5,480.50","2,529.10"
,Seed requirements,0,18.6,0,0,18.6,0
,Ending stocks 8,"1,764.00",208,"3,865.00","2,456.00",418,"3,430.00"
,"Animal feed, waste and dockage",2.3,113.1,1.4,2.9,4,57.7
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Footnotes:,,,,,,,
1,All grains except soybeans are based on the crop year August to July. The data for the periods are cumulative over the crop year (March 20XX = August to March; July 20XX = August to July; and December 20XX = August to December).,,,,,,
2,Soybeans are based on the crop year September to August. The data for the periods are cumulative over the crop year (March 20XX = September to March; July 20XX = September to August; and December 20XX = September to December).,,,,,,
3,Includes only licensed canola deliveries in Ontario.,,,,,,
4,"Animal feed, waste and dockage calculated residually.",,,,,,
5,Historical data may include some rapeseed.,,,,,,
6,Excludes flaxseed deliveries to process elevators.,,,,,,
7,"Data in this table are updated three times a year. For the most updated data on grain deliveries, see table 32-10-0351.",,,,,,
8,Also known as carryover.,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"How to cite: Statistics Canada. Table 32-10-0015-01  Farm supply and disposition of grains (x 1,000)",,,,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210001501,,,,,,,
